canonical_smiles,molwt
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CC)C2=O)C(C)(C)c2ccccc21,489.477
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CC)C2=O)C(C)(C)c2cc(Br)ccc21,568.373
CCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CC)C2=O)C(C)(C)c2cc(I)ccc21,615.373
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CC)C2=O)C(C)(C)c2ccccc21,517.531
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CC)C2=O)C(C)(C)c2cc(Br)ccc21,596.427
CCCCN1/C(=C\C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CC)C2=O)C(C)(C)c2cc(I)ccc21,643.427
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,532.546
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,611.442
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCN)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,658.442
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,533.53
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,612.426
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCO)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,659.426
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,617.716
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,696.612
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCC[N+](CC)(CC)CC)c4ccc(I)cc4C3(C)C)=C2[O-])[se]c2ccccc21,743.612
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)=C2[O-])[se]c2ccccc21,597.595
CC[n+]1c(/C=C2\C(=O)C(/C=C3\N(CCCCS(=O)(=O)O)c4ccc(Br)cc4C3(C)C)=C2[O-])[se]c2ccccc21,676.491
