activity_id,assay_id,molregno,smiles,standard_type,caco2_value,units,assay_description,canonical_smiles,papp_cms_caco2,log10_caco2
1663163,328699,334133,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccccc2)cc1,Papp,2.66,ucm/s,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccccc2)cc1,2.66e-06,-5.575118363368933
1663164,328699,334513,N[C@@H](Cc1ccc(-c2ccc(F)cc2)cc1)C(=O)N1CCSC1,Papp,16.81,ucm/s,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,N[C@@H](Cc1ccc(-c2ccc(F)cc2)cc1)C(=O)N1CCSC1,1.6809999999999997e-05,-4.774432286560529
1663165,328699,334175,N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCSC1,Papp,4.56,ucm/s,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCSC1,4.5599999999999995e-06,-5.341035157335565
1663166,328699,334361,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2F)cc1,Papp,4.93,ucm/s,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2F)cc1,4.929999999999999e-06,-5.30715308072277
1663167,328699,334287,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2)cc1,Papp,7.21,ucm/s,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2)cc1,7.21e-06,-5.142064735280571
1710951,351095,345507,Cn1cc(C#N)c2ccccc21,Papp,367.0,10^-7 cm/s,Apparent permeability in Caco-2 cell from apical to basolateral,Cn1cc(C#N)c2ccccc21,3.67e-05,-4.435333935747911
1710956,351095,345516,c1ccc2c(-c3ccncc3)c[nH]c2c1,Papp,262.0,10^-7 cm/s,Apparent permeability in Caco-2 cell from apical to basolateral,c1ccc2c(-c3ccncc3)c[nH]c2c1,2.62e-05,-4.581698708680254
1710958,351095,345739,Cn1cc(C#N)c2ccc(NC(=O)NOCc3ccccc3)cc21,Papp,193.0,10^-7 cm/s,Apparent permeability in Caco-2 cell from apical to basolateral,Cn1cc(C#N)c2ccc(NC(=O)NOCc3ccccc3)cc21,1.9299999999999998e-05,-4.714442690992226
1710959,351095,345982,O=S(=O)(Nc1ccc2c(-c3ccncc3)c[nH]c2c1)c1ccccc1,Papp,65.0,10^-7 cm/s,Apparent permeability in Caco-2 cell from apical to basolateral,O=S(=O)(Nc1ccc2c(-c3ccncc3)c[nH]c2c1)c1ccccc1,6.5e-06,-5.187086643357144
1710961,351095,345526,CN(C(=O)Nc1ccc2c(-c3ccncc3)c[nH]c2c1)c1ccccc1,Papp,143.0,10^-7 cm/s,Apparent permeability in Caco-2 cell from apical to basolateral,CN(C(=O)Nc1ccc2c(-c3ccncc3)c[nH]c2c1)c1ccccc1,1.4299999999999999e-05,-4.844663962534939
1710962,351095,345535,O=C(NOCc1ccccc1)Nc1ccc2c(-c3ccncc3)c[nH]c2c1,Papp,65.0,10^-7 cm/s,Apparent permeability in Caco-2 cell from apical to basolateral,O=C(NOCc1ccccc1)Nc1ccc2c(-c3ccncc3)c[nH]c2c1,6.5e-06,-5.187086643357144
1713437,353246,346294,NC(=O)c1sc(-c2ccc(F)cc2)cc1N,permeability,19.3,ucm/s,Permeability from apical to basolateral side of Caco-2 cell membrane,NC(=O)c1sc(-c2ccc(F)cc2)cc1N,1.9299999999999998e-05,-4.714442690992226
1713438,353246,346611,Cc1cc(C)c2c(N)c(C(N)=O)sc2n1,permeability,13.6,ucm/s,Permeability from apical to basolateral side of Caco-2 cell membrane,Cc1cc(C)c2c(N)c(C(N)=O)sc2n1,1.3599999999999999e-05,-4.866461091629782
