smiles,log10_caco2,log10_pampa,log10_mdck,split
Brc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,-4.337242168318426,,,train
Brc1ccc2c(c1)CCCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2,-4.537602002101044,,,train
Brc1cnc(Nc2cccc(CN3CCOCC3)c2)nc1NCCc1c[nH]cn1,,-5.886056647693163,,train
C#CC(=O)Nc1ccc(CCCCCC)cc1,,-3.20690839982342,,train
C#CC(=O)Oc1ccc(CCCCCC)cc1,,-4.6777807052660805,,train
C#CCN(C)C1=C(Cl)C(=O)c2ccccc2C1=O,,-4.853871964321762,,train
C#CCN(C)C1=CC(=O)c2ccccc2C1=O,,-4.732828271596986,,train
C#CCN(C)CCCCOc1ccc2ccc(=O)oc2c1,,-5.049635145623877,,train
C#CCN(C)Cc1ccc(O)c2ncccc12,,,-4.367239111520561,train
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,-6.6020599913279625,,,train
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,-6.686132779630847,,,train
C#CCN(CCC1CCN(Cc2ccccc2)CC1)Cc1ccc(O)c2ncccc12,,,-4.504455662453552,train
C#CCN(CCCC1CCN(Cc2ccccc2)CC1)Cc1ccc(O)c2ncccc12,,,-4.520136886976903,train
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)C1CCN(Cc2ccccc2)CC1,,,-4.458171233218688,train
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CC1CCN(Cc2ccccc2)CC1,,,-4.492279023314387,val
C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,,,-4.5141366704026655,test
C#CCN(Cc1ccc(O)c2ncccc12)C1CCN(Cc2ccccc2)CC1,,,-4.455064234118497,train
C#CCN(Cc1ccc(O)c2ncccc12)CC1CCN(Cc2ccccc2)CC1,,,-4.486915639534856,train
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,-5.494850021680094,,,train
C#CCNC1=C(Cl)C(=O)c2ccccc2C1=O,,-4.531652669587843,,train
C#CCNC1=CC(=O)c2c(O)ccc(O)c2C1=O,,-4.363512103646634,,train
C#CCNC1=CC(=O)c2cccc(OC)c2C1=O,,-4.72584215073632,,train
C#CCNC1=CC(=O)c2cccc(OCC)c2C1=O,,-4.732828271596986,,train
C#CCNC1=CC(=O)c2cccc(OCc3ccccc3)c2C1=O,,-4.5934598195660445,,test
