activity_id,assay_id,molregno,smiles,standard_type,mdck_value,units,assay_description
1684918,334152,339699,CCCC[C@@H](/C=N/NC(=O)N1CCCC1)NC(=O)OC(C)(C)C,Papp,200,nm/s,Permeability across MDCK cells
1684931,334152,339579,CCCC[C@@H](/C=N/NC(=O)N1CCOCC1)NC(=O)O[C@@H](C)Cc1ccccc1,Papp,140,nm/s,Permeability across MDCK cells
1684932,334152,339731,CCCC[C@@H](/C=N/NS(=O)(=O)N(C)C)NC(=O)OC(C)(C)C,Papp,770,nm/s,Permeability across MDCK cells
1684933,334152,339604,CCCC[C@@H](/C=N/NC(=O)N1CCc2ccccc21)NC(=O)OC(C)(C)C,Papp,150,nm/s,Permeability across MDCK cells
1684934,334152,339603,CCCC[C@@H](/C=N/NC(=O)N1CCOCC1)NC(=O)OC(C)(C)C,Papp,62,nm/s,Permeability across MDCK cells
1690211,336835,42236,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CCCN(S(=O)(=O)c2ccccn2)CC1=O,permeability,5.7,10^-5 cm/s,Permeability in MDCK cells at 10 uM
1690213,336835,340533,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CC[C@@H](C)N(S(=O)(=O)c2ccccn2)CC1=O,permeability,4.7,10^-5 cm/s,Permeability in MDCK cells at 10 uM
1690214,336835,340475,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1C[C@H](C)CN(S(=O)(=O)c2ccccn2)CC1=O,permeability,4.9,10^-5 cm/s,Permeability in MDCK cells at 10 uM
1690215,336835,340745,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@@H]1C(=O)CN(S(=O)(=O)c2ccccn2)CC[C@@H]1C,permeability,5.5,10^-5 cm/s,Permeability in MDCK cells at 10 uM
1698917,341075,342793,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Cc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,Papp,410,nm/s,Permeability in MDCK cell line
1698922,341075,342807,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2nnc(C(F)(F)F)s2)CC1(C)C)C(=O)C(=O)Nc1cc[nH]n1,Papp,120,nm/s,Permeability in MDCK cell line
1698923,341075,342806,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2nc3ccccc3s2)CC1(C)C)C(=O)C(=O)Nc1cc[nH]n1,Papp,250,nm/s,Permeability in MDCK cell line
1698924,341075,342805,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Nc2ccc(C(F)(F)F)cc2)CC1(C)C)C(=O)C(=O)Nc1cc[nH]n1,Papp,18,nm/s,Permeability in MDCK cell line
1698925,341075,342827,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Nc2c(C)noc2C)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,Papp,12,nm/s,Permeability in MDCK cell line
1698926,341075,342826,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2cccnc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,Papp,210,nm/s,Permeability in MDCK cell line
1698927,341075,342825,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2ccno2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,Papp,480,nm/s,Permeability in MDCK cell line
1698928,341075,342686,CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)NCc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,Papp,210,nm/s,Permeability in MDCK cell line
1873666,435429,380320,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CCOC[C@H]2C(=O)N2CCC(CC(=O)O)CC2)cc1,Papp,0.02,10^-6 cm/s,Apparent permeability across MDCK cells
1873748,435429,380273,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1C,Papp,0.7,10^-6 cm/s,Apparent permeability across MDCK cells
1873749,435429,380277,COc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1OC,Papp,0.44,10^-6 cm/s,Apparent permeability across MDCK cells
1873750,435429,380275,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br,Papp,2.65,10^-6 cm/s,Apparent permeability across MDCK cells
1873751,435429,380274,COc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl,Papp,1.7,10^-6 cm/s,Apparent permeability across MDCK cells
1873752,435429,380282,Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Br,Papp,3,10^-6 cm/s,Apparent permeability across MDCK cells
1873753,435429,380281,Cc1cc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)ccc1NC(=O)Nc1ccccc1Cl,Papp,3,10^-6 cm/s,Apparent permeability across MDCK cells
1873754,435429,380280,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1C,Papp,0.25,10^-6 cm/s,Apparent permeability across MDCK cells
1873755,435429,380292,O=C(Nc1ccccc1Br)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,Papp,3.4,10^-6 cm/s,Apparent permeability across MDCK cells
1873756,435429,380291,O=C(Nc1ccccc1Cl)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,Papp,4.49,10^-6 cm/s,Apparent permeability across MDCK cells
1873757,435429,380289,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Br,Papp,1.92,10^-6 cm/s,Apparent permeability across MDCK cells
