activity_id,assay_id,molregno,smiles,standard_type,pampa_value,units,assay_description,canonical_smiles,papp_cms_pampa,log10_pampa
1879138,436210,178714,Oc1ccc(Cl)cc1Cl,Papp,11.86,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,Oc1ccc(Cl)cc1Cl,1.1859999999999998e-05,-4.925915310971757
1879139,436210,381706,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1,Papp,16.52,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1,1.6519999999999998e-05,-4.781989957015637
1879140,436210,381705,Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,Papp,16.69,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,1.669e-05,-4.7775436633207535
1879141,436210,381704,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,Papp,17.24,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,1.7239999999999998e-05,-4.763462738511306
1879142,436210,85007,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,Papp,19.06,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,1.9059999999999997e-05,-4.7198771036976925
1879143,436210,381703,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,Papp,15.74,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,1.574e-05,-4.802995271976954
1879144,436210,381702,COP1(=S)OCc2ccccc2O1,Papp,9.39,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,COP1(=S)OCc2ccccc2O1,9.39e-06,-5.027334407733889
1879145,436210,381701,CCc1ccc(C)nc1,Papp,2.85,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CCc1ccc(C)nc1,2.85e-06,-5.54515513999149
1879146,436210,428699,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,Papp,4.52,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,4.519999999999999e-06,-5.344861565188618
1879147,436210,381700,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,Papp,11.71,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,1.171e-05,-4.931443104927637
1879148,436210,381699,COc1nn(CSP(=S)(OC)OC)c(=O)s1,Papp,10.78,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,COc1nn(CSP(=S)(OC)OC)c(=O)s1,1.0779999999999998e-05,-4.96738123914928
1879149,436210,381698,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Papp,5.21,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,5.21e-06,-5.283162276700476
1879150,436210,381697,CCC(C)c1ccccc1OC(=O)NC,Papp,12.42,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CCC(C)c1ccccc1OC(=O)NC,1.242e-05,-4.905878404159439
1879151,436210,13725,c1ccc(-c2ccccc2)cc1,Papp,1.12,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,c1ccc(-c2ccccc2)cc1,1.12e-06,-5.950781977329818
1879152,436210,381696,CCN(CC)C(=O)SCc1ccc(Cl)cc1,Papp,20.55,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CCN(CC)C(=O)SCc1ccc(Cl)cc1,2.055e-05,-4.687188173787912
1879153,436210,16544,CCNc1nc(Cl)nc(NC(C)C)n1,Papp,29.18,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CCNc1nc(Cl)nc(NC(C)C)n1,2.918e-05,-4.534914712442567
1879154,436210,30111,O=C(O)c1ccccc1Nc1ccccc1,Papp,13.83,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,O=C(O)c1ccccc1Nc1ccccc1,1.383e-05,-4.859177819890689
1879155,436210,16585,c1cc2ccc3cccc4ccc(c1)c2c34,Papp,2.22,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,c1cc2ccc3cccc4ccc(c1)c2c34,2.22e-06,-5.653647025549361
1879156,436210,13456,Oc1ccccc1,Papp,47.05,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,Oc1ccccc1,4.704999999999999e-05,-4.327440372236724
1879157,436210,13329,Oc1ccc(O)cc1,Papp,7.31,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,Oc1ccc(O)cc1,7.3099999999999995e-06,-5.13608262304214
1879158,436210,55991,c1ccc(Nc2ccccc2)cc1,Papp,3.1,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,c1ccc(Nc2ccccc2)cc1,3.1e-06,-5.508638306165728
1879159,436210,165740,COC(=O)c1ccccc1C(=O)OC,Papp,43.32,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,COC(=O)c1ccccc1C(=O)OC,4.332e-05,-4.363311552046717
1879160,436210,381695,CCOC(=O)c1ccccc1C(=O)OCC,Papp,15.05,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,CCOC(=O)c1ccccc1C(=O)OCC,1.505e-05,-4.822463500070138
1879161,436210,13338,Nc1ccccc1,Papp,75.92,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,Nc1ccccc1,7.592e-05,-4.119643800580763
1879162,436210,13467,Nc1ccc([N+](=O)[O-])cc1,Papp,20.79,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,Nc1ccc([N+](=O)[O-])cc1,2.079e-05,-4.682145510668531
1879163,436210,105662,N#Cc1ccc(O)cc1,Papp,17.04,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,N#Cc1ccc(O)cc1,1.704e-05,-4.768530409569319
1879164,436210,16809,Nc1ccc(Cl)cc1,Papp,41.75,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA,Nc1ccc(Cl)cc1,4.175e-05,-4.379343520180379
