activity_id,assay_id,molregno,smiles,standard_type,pampa_value,units,assay_description
1879138,436210,178714,Oc1ccc(Cl)cc1Cl,Papp,11.86,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879139,436210,381706,CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1,Papp,16.52,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879140,436210,381705,Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,Papp,16.69,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879141,436210,381704,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,Papp,17.24,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879142,436210,85007,COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,Papp,19.06,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879143,436210,381703,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,Papp,15.74,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879144,436210,381702,COP1(=S)OCc2ccccc2O1,Papp,9.39,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879145,436210,381701,CCc1ccc(C)nc1,Papp,2.85,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879146,436210,428699,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,Papp,4.52,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879147,436210,381700,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,Papp,11.71,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879148,436210,381699,COc1nn(CSP(=S)(OC)OC)c(=O)s1,Papp,10.78,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879149,436210,381698,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Papp,5.21,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879150,436210,381697,CCC(C)c1ccccc1OC(=O)NC,Papp,12.42,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879151,436210,13725,c1ccc(-c2ccccc2)cc1,Papp,1.12,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879152,436210,381696,CCN(CC)C(=O)SCc1ccc(Cl)cc1,Papp,20.55,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879153,436210,16544,CCNc1nc(Cl)nc(NC(C)C)n1,Papp,29.18,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879154,436210,30111,O=C(O)c1ccccc1Nc1ccccc1,Papp,13.83,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879155,436210,16585,c1cc2ccc3cccc4ccc(c1)c2c34,Papp,2.22,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879156,436210,13456,Oc1ccccc1,Papp,47.05,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879157,436210,13329,Oc1ccc(O)cc1,Papp,7.31,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879158,436210,55991,c1ccc(Nc2ccccc2)cc1,Papp,3.1,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879159,436210,165740,COC(=O)c1ccccc1C(=O)OC,Papp,43.32,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879160,436210,381695,CCOC(=O)c1ccccc1C(=O)OCC,Papp,15.05,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879161,436210,13338,Nc1ccccc1,Papp,75.92,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879162,436210,13467,Nc1ccc([N+](=O)[O-])cc1,Papp,20.79,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879163,436210,105662,N#Cc1ccc(O)cc1,Papp,17.04,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879164,436210,16809,Nc1ccc(Cl)cc1,Papp,41.75,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879165,436210,13473,O=[N+]([O-])c1cccc(O)c1,Papp,17.09,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879166,436210,13478,Nc1cccc([N+](=O)[O-])c1,Papp,21.56,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
1879167,436210,191544,Nc1cccc(Cl)c1,Papp,36.69,10^-6 cm/s,Permeability coefficient through artificial membrane in presence of unstirred water layer by PAMPA
